leaf,n_supports_on_path,supports_root_to_leaf,sum_branch_length,branch_lengths_root_to_leaf
var_0,5,0.0000;0.9970;0.8890;0.3130;0.9290,0.011673,0.000000;0.000000;0.000000;0.000000;0.007198;0.004475
var_1,5,0.0000;0.9970;0.8890;0.3130;0.9290,0.016321,0.000000;0.000000;0.000000;0.000000;0.007198;0.009122
var_10,8,0.0000;0.9970;0.0000;0.0000;0.0000;0.4290;0.8070;0.9020,0.010460,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010460;0.000000
var_11,7,0.0000;0.9970;0.0000;0.0000;0.0000;0.4290;0.8070,0.010420,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010420
var_12,3,0.0000;0.8220;0.8910,0.010395,0.000000;0.000000;0.000000;0.010395
var_13,7,0.0000;0.9970;0.0000;0.0000;0.0000;0.5880;0.9070,0.010395,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010395
var_14,2,0.9040;0.1890,0.010393,0.000000;0.000000;0.010393
var_15,10,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9190;0.8110,0.010404,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010404
var_16,1,0.9040,0.010420,0.000000;0.010420
var_17,8,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.9330,0.010391,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010391
var_18,6,0.0000;0.9970;0.0000;0.0000;0.0000;0.9030,0.010406,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010406
var_19,10,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9020;0.9250,0.014455,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.006073;0.008382
var_2,4,0.7360;0.7440;0.7500;0.9140,0.010447,0.000000;0.000000;0.000000;0.010446;0.000000
var_20,10,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9020;0.9250,0.012530,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.006073;0.006457
var_21,9,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.1960;0.8470,0.010518,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010518
var_22,7,0.0000;0.9970;0.0000;0.0000;0.0000;0.5880;0.9070,0.010404,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010404
var_23,7,0.0000;0.9970;0.0000;0.0000;0.0000;0.4290;0.2860,0.010540,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010540
var_24,5,0.0000;0.9970;0.8890;0.9270;0.9770,0.023111,0.000000;0.000000;0.000000;0.006087;0.006468;0.010556
var_25,4,0.0000;0.9970;0.8890;0.9270,0.014492,0.000000;0.000000;0.000000;0.006087;0.008405
var_26,5,0.0000;0.9970;0.8890;0.9270;0.9770,0.012555,0.000000;0.000000;0.000000;0.006087;0.006468;0.000000
var_27,9,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.1960;0.8790,0.010414,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010414
var_28,3,0.0000;0.8220;0.8620,0.010761,0.000000;0.000000;0.000000;0.010761
var_29,6,0.0000;0.9970;0.0000;0.6240;0.0000;0.7840,0.010473,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010473
var_3,4,0.7360;0.7440;0.7500;0.9140,0.010381,0.000000;0.000000;0.000000;0.010381;0.000000
var_30,6,0.0000;0.9970;0.0000;0.6240;0.0000;0.7840,0.010414,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010414
var_31,6,0.0000;0.9970;0.0000;0.6240;0.0000;0.7720,0.010430,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010430
var_32,6,0.0000;0.9970;0.0000;0.6240;0.0000;0.7720,0.010415,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010415
var_33,12,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.1960;0.8470;0.7440;0.9240;0.9240,0.020936,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010429;0.010507;0.000000
var_34,11,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.1960;0.8470;0.7440;0.9240,0.014912,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.008435;0.006477
var_35,11,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.1960;0.8470;0.7440;0.9240,0.014545,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.008435;0.006109
var_36,13,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.1960;0.8470;0.7440;0.9240;0.9240;0.5520,0.031428,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010429;0.010507;0.010492;0.000000
var_37,13,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.1960;0.8470;0.7440;0.9240;0.9240;0.5520,0.041891,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010429;0.010507;0.010492;0.010463
var_38,11,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.1960;0.8470;0.7440;0.9240,0.010429,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010429;0.000000
var_39,7,0.0000;0.9970;0.0000;0.0000;0.0000;0.4290;0.2860,0.010415,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010415
var_4,5,0.7360;0.7440;0.7500;0.9140;0.2790,0.031527,0.000000;0.000000;0.000000;0.010446;0.010418;0.010662
var_40,10,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9040;0.7090,0.010404,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010404
var_41,9,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.1960;0.8790,0.010442,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010442
var_42,9,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.8930,0.010409,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010409
var_43,8,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.9330,0.010429,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010429
var_44,10,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9040;0.9280,0.017321,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.009421;0.007901
var_45,10,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9040;0.9280,0.013211,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.009421;0.003790
var_46,7,0.0000;0.9970;0.0000;0.0000;0.0000;0.5880;0.9000,0.010391,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010391
var_47,4,0.0000;0.9970;0.8890;0.3130,0.010544,0.000000;0.000000;0.000000;0.000000;0.010544
var_48,6,0.0000;0.9970;0.0000;0.0000;0.0000;0.9030,0.010433,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010433
var_49,12,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9190;0.9220;0.7420;0.9220,0.023553,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.006692;0.006512;0.010348;0.000000
var_5,4,0.7360;0.7440;0.7500;0.9140,0.020615,0.000000;0.000000;0.000000;0.010381;0.010233
var_50,12,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9190;0.9220;0.7420;0.9220,0.034011,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.006692;0.006512;0.010348;0.010458
var_51,10,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9190;0.9220,0.014324,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.006692;0.007632
var_52,11,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9190;0.9220;0.7420,0.013205,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.006692;0.006512;0.000000
var_53,9,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.8930,0.010389,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010389
var_54,10,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9040;0.7090,0.010404,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010404
var_55,11,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9020;0.7700;0.9150,0.010461,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010461;0.000000
var_56,11,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9020;0.7700;0.9150,0.021058,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010404;0.010654
var_57,11,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9020;0.7700;0.9150,0.010404,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010404;0.000000
var_58,12,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9020;0.7700;0.9150;0.5470,0.020909,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010461;0.010448;0.000000
var_59,12,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9020;0.7700;0.9150;0.5470,0.031342,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010461;0.010448;0.010433
var_6,5,0.7360;0.7440;0.7500;0.9140;0.2790,0.020865,0.000000;0.000000;0.000000;0.010446;0.010418;0.000000
var_60,3,0.9040;0.1890;0.9190,0.020858,0.000000;0.000000;0.010414;0.010444
var_61,3,0.9040;0.1890;0.9190,0.010414,0.000000;0.000000;0.010414;0.000000
var_62,2,0.7360;0.7680,0.010445,0.000000;0.000000;0.010445
var_63,2,0.7360;0.7680,0.010418,0.000000;0.000000;0.010418
var_64,10,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9190;0.8110,0.010373,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010373
var_65,3,0.0000;0.8220;0.8620,0.010373,0.000000;0.000000;0.000000;0.010373
var_66,4,0.0000;0.9970;0.0000;0.6240,0.010405,0.000000;0.000000;0.000000;0.000000;0.010405
var_67,2,0.7360;0.7440,0.010473,0.000000;0.000000;0.010473
var_7,3,0.0000;0.8220;0.8910,0.010414,0.000000;0.000000;0.000000;0.010414
var_8,7,0.0000;0.9970;0.0000;0.0000;0.0000;0.5880;0.9000,0.010491,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010491
var_9,8,0.0000;0.9970;0.0000;0.0000;0.0000;0.4290;0.8070;0.9020,0.020862,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010460;0.010402
